# BIDS-Eye synonym collision report
# Generated by RAG/audit_collisions.py

## task  (1184 concepts)
# CRITICAL=239  HIGH=1075  MEDIUM=8539  EMBED=0

CRITICAL resting_state_technical.synonyms["resting-state baseline"] (w=0.1, score=100) → calibration_baseline.synonym["resting-state baseline"]
CRITICAL visual_working_memory_short_immediate.synonyms["visual short-term memory"] (w=0.1, score=100) → visual_short_term_memory.label["visual short-term memory"]
CRITICAL visual_working_memory_short_immediate.synonyms["VSTM"] (w=0.1, score=100) → visual_short_term_memory.synonym["vstm"]
CRITICAL visual_working_memory_short_immediate.synonyms["visuospatial working memory"] (w=0.1, score=100) → visual_working_memory_general.synonym["visuospatial working memory"]
CRITICAL visual_working_memory_general.synonyms["VSTM"] (w=0.1, score=100) → visual_short_term_memory.synonym["vstm"]
CRITICAL implicit_learning.synonyms["probabilistic classification learning"] (w=0.1, score=100) → probabilistic_classification_learning.label["probabilistic classification learning"]
CRITICAL implicit_learning.synonyms["weather prediction task"] (w=0.1, score=100) → weather_prediction_task.label["weather prediction task"]
CRITICAL implicit_learning.synonyms["artificial grammar learning"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["artificial grammar learning"]
CRITICAL implicit_learning.synonyms["AGL"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["agl"]
CRITICAL statistical_learning_task.synonyms["artificial grammar learning task"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["artificial grammar learning task"]
CRITICAL search_superiority_recollection_familiarity_encoding.synonyms["episodic memory encoding"] (w=0.1, score=100) → encoding.label["episodic memory encoding"]
CRITICAL stimulus_exposure_memory.synonyms["memory encoding"] (w=0.1, score=100) → memory_encoding.label["memory encoding"]
CRITICAL study_test_memory_task.synonyms["episodic memory task"] (w=0.1, score=100) → episodic_memory_task.label["episodic memory task"]
CRITICAL memory_retrieval_general.synonyms["cued recall"] (w=0.1, score=100) → cued_recall_memory.synonym["cued recall"]
CRITICAL delayed_repeated_free_recall_read_only.synonyms["DFR"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["dfr"]
CRITICAL delayed_repeated_free_recall_read_only.synonyms["DFR task"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["dfr task"]
CRITICAL delayed_repeated_free_recall_read_only.synonyms["Delayed word list recall"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["delayed word list recall"]
CRITICAL delayed_repeated_free_recall_read_only.synonyms["Delayed verbal free recall"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["delayed verbal free recall"]
CRITICAL face_memory_retrieval_test.synonyms["face memory task"] (w=0.1, score=100) → face_memory_task.label["face memory task"]
CRITICAL cued_recall_memory.synonyms["paired-associate learning"] (w=0.1, score=100) → associative.synonym["paired-associate learning"]
CRITICAL word_memory_retrieval.synonyms["lexical retrieval"] (w=0.1, score=100) → language_speech.synonym["lexical retrieval"]
CRITICAL free_recall_variant_1.synonyms["word-list free recall"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["word-list free recall"]
CRITICAL free_recall_variant_1.synonyms["delayed word list recall"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["delayed word list recall"]
CRITICAL free_recall_variant_1.synonyms["DFR task"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["dfr task"]
CRITICAL free_recall_variant_1.synonyms["DFR"] (w=0.1, score=100) → pyfr_delayed_free_recall_word_lists.synonym["dfr"]
CRITICAL memory_task_general.synonyms["episodic memory task"] (w=0.1, score=100) → episodic_memory_task.label["episodic memory task"]
CRITICAL semantic_memory.synonyms["semantic categorization"] (w=0.1, score=100) → semantic_categorization.label["semantic categorization"]
CRITICAL semantic_memory.synonyms["semantic fluency"] (w=0.1, score=100) → semantic_fluency.label["semantic fluency"]
CRITICAL semantic_memory.synonyms["semantic processing"] (w=0.3, score=100) → language_speech.synonym["semantic processing"]
CRITICAL familiarity_assessment.synonyms["Old-new judgment"] (w=0.1, score=100) → recognition.synonym["old-new judgment"]
CRITICAL object_recognition_general.synonyms["picture naming task"] (w=0.1, score=100) → picture_naming_task.label["picture naming task"]
CRITICAL visual_memory_general.synonyms["visual short-term memory"] (w=0.1, score=100) → visual_short_term_memory.label["visual short-term memory"]
CRITICAL visual_memory_general.synonyms["VSTM"] (w=0.1, score=100) → visual_short_term_memory.synonym["vstm"]
CRITICAL offline_processing_associative_learning.synonyms["memory consolidation"] (w=0.3, score=100) → memory_consolidation.label["memory consolidation"]
CRITICAL paired_associates_learning_general.synonyms["paired-associate learning"] (w=0.1, score=100) → associative.synonym["paired-associate learning"]
CRITICAL associative_inference_memory.synonyms["Transitive Inference Task"] (w=0.1, score=100) → transitive_inference_task.label["transitive inference task"]
CRITICAL associative_learning_what_on.synonyms["Paired-associate learning"] (w=0.1, score=100) → associative.synonym["paired-associate learning"]
CRITICAL learning_task_general.synonyms["statistical learning task"] (w=0.1, score=100) → statistical_learning_task.label["statistical learning task"]
CRITICAL memory_task_phase_1_ds001232_ds001430.synonyms["memory encoding"] (w=0.1, score=100) → memory_encoding.label["memory encoding"]
CRITICAL spatial_memory_group.synonyms["route learning"] (w=1.0, score=100) → route_learning.label["route learning"]
CRITICAL navigation_learning.synonyms["spatial navigation task"] (w=0.1, score=100) → spatial_navigation_task.label["spatial navigation task"]
CRITICAL route_learning.synonyms["navigation learning"] (w=0.1, score=100) → navigation_learning.label["navigation learning"]
CRITICAL maze_navigation_task.synonyms["spatial navigation task"] (w=0.1, score=100) → spatial_navigation_task.label["spatial navigation task"]
CRITICAL spatial_navigation_localizer.synonyms["maze navigation task"] (w=0.1, score=100) → maze_navigation_task.label["maze navigation task"]
CRITICAL spatial_memory.synonyms["topographical memory"] (w=0.1, score=100) → spatial_memory_group.synonym["topographical memory"]
CRITICAL spatial_memory.synonyms["wayfinding"] (w=0.1, score=100) → geospatial_navigation.synonym["wayfinding"]
CRITICAL eye_movement_magnification_attention.synonyms["anti-saccade task"] (w=0.1, score=100) → anti_saccade_task.label["anti-saccade task"]
CRITICAL numerical_processing.synonyms["number comparison task"] (w=0.1, score=100) → number_comparison_task.label["number comparison task"]
CRITICAL oddball_task.synonyms["visual oddball"] (w=0.6, score=100) → visual_oddball.label["visual oddball"]
CRITICAL oddball_task.synonyms["auditory oddball"] (w=0.3, score=100) → auditory_oddball.label["auditory oddball"]
CRITICAL probe_task.synonyms["Sternberg task"] (w=0.1, score=100) → sternberg_task.label["sternberg task"]
CRITICAL single_task_weather_prediction.synonyms["Weather Prediction Task"] (w=0.1, score=100) → weather_prediction_task.label["weather prediction task"]
CRITICAL syllogistic_reasoning_task.synonyms["transitive inference task"] (w=0.1, score=100) → transitive_inference_task.label["transitive inference task"]
CRITICAL visual_oddball.synonyms["visual oddball task"] (w=0.6, score=100) → p300_visual_stimulation_ctos.synonym["visual oddball task"]
CRITICAL visual_oddball.synonyms["visual oddball experiment"] (w=0.1, score=100) → p300_visual_stimulation_ctos.synonym["visual oddball experiment"]
CRITICAL alertness_attention_litebook.synonyms["Simple Reaction Time"] (w=0.1, score=100) → simple_reaction_time.label["simple reaction time"]
CRITICAL cnos_visual_stimulation.synonyms["visual oddball task"] (w=0.1, score=100) → p300_visual_stimulation_ctos.synonym["visual oddball task"]
CRITICAL cnos_visual_stimulation.synonyms["visual P300 paradigm"] (w=0.1, score=100) → p300_visual_stimulation_ctos.synonym["visual p300 paradigm"]
CRITICAL cnos_visual_stimulation.synonyms["visual P300 task"] (w=0.1, score=100) → p300_visual_stimulation_ctos.synonym["visual p300 task"]
CRITICAL cnos_visual_stimulation.synonyms["vP300"] (w=0.1, score=100) → p300_visual_stimulation_ctos.synonym["vp300"]
CRITICAL cnos_visual_stimulation.synonyms["vP3"] (w=0.1, score=100) → p300_visual_stimulation_ctos.synonym["vp3"]
CRITICAL deduction_task.synonyms["transitive inference task"] (w=0.1, score=100) → transitive_inference_task.label["transitive inference task"]
CRITICAL deviant_detection_task.synonyms["oddball task"] (w=0.1, score=100) → oddball_task.label["oddball task"]
CRITICAL expectation_task.synonyms["violation of expectation"] (w=0.1, score=100) → violation_of_expectation.label["violation of expectation"]
CRITICAL expectation_task.synonyms["prediction error task"] (w=0.1, score=100) → prediction_error_task.label["prediction error task"]
CRITICAL neurofeedback_general.synonyms["fMRI neurofeedback"] (w=0.1, score=100) → fmri_neurofeedback.label["fmri neurofeedback"]
CRITICAL meditation_variant2.synonyms["breath awareness task"] (w=0.1, score=100) → meditation_breathing_variant1.synonym["breath awareness task"]
CRITICAL meditation_variant2.synonyms["focused attention meditation"] (w=0.1, score=100) → meditation_breathing_variant1.synonym["focused attention meditation"]
CRITICAL meditation_variant2.synonyms["breath focus task"] (w=0.1, score=100) → meditation_breathing_variant1.synonym["breath focus task"]
CRITICAL picture_matching_task.synonyms["delayed match-to-sample task"] (w=0.1, score=100) → delayed_match_to_sample.label["delayed match-to-sample task"]
CRITICAL probabilistic_classification_learning.synonyms["weather prediction task"] (w=0.1, score=100) → weather_prediction_task.label["weather prediction task"]
CRITICAL quick_reaction_task.synonyms["Lexical Decision Task"] (w=0.3, score=100) → lexical_decision_task.label["lexical decision task"]
CRITICAL quick_reaction_task.synonyms["Go/No-Go Task"] (w=0.1, score=100) → go_no_go_a.synonym["go/no-go task"]
CRITICAL reactive_control_task.synonyms["Go/No-Go Task"] (w=0.1, score=100) → go_no_go_a.synonym["go/no-go task"]
CRITICAL rule_learning.synonyms["implicit rule learning"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["implicit rule learning"]
CRITICAL motor_imagery_general.synonyms["imagined movement"] (w=0.1, score=100) → motor_imagery_vs_rest.synonym["imagined movement"]
CRITICAL motor_imagery_general.synonyms["kinesthetic imagery"] (w=0.1, score=100) → motor_imagery_vs_rest.synonym["kinesthetic imagery"]
CRITICAL tibial_mixed_nerve_stimulation.synonyms["tibial nerve stimulation"] (w=0.1, score=100) → tibial_nerve_stimulation.label["tibial nerve stimulation"]
CRITICAL tibial_sensory_nerve_stimulation.synonyms["tibial nerve stimulation"] (w=0.1, score=100) → tibial_nerve_stimulation.label["tibial nerve stimulation"]
CRITICAL tactile_stimulation.synonyms["somatosensory task"] (w=0.1, score=100) → somatosensory_task.label["somatosensory task"]
CRITICAL hand_action_task_variant_3.synonyms["hand motor task"] (w=0.1, score=100) → hand_motor_task.label["hand motor task"]
CRITICAL motor_task_variant_1.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.label["finger tapping task"]
CRITICAL motor_task_variant_1.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.synonym["finger tapping task"]
CRITICAL motor_mapping_five_fingers.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.label["finger tapping task"]
CRITICAL motor_mapping_five_fingers.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.synonym["finger tapping task"]
CRITICAL motor_task_general.synonyms["motor localizer"] (w=0.1, score=100) → motor_localizer.label["motor localizer"]
CRITICAL sensorimotor_task_general.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.label["finger tapping task"]
CRITICAL sensorimotor_task_general.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.synonym["finger tapping task"]
CRITICAL tactile_perception_task.synonyms["somatosensory task"] (w=0.1, score=100) → somatosensory_task.label["somatosensory task"]
CRITICAL body_motor_task.synonyms["HCP motor task"] (w=0.1, score=100) → hcp_motor_task.label["hcp motor task"]
CRITICAL basketball_dribble_motor_imagery.synonyms["basketball motor imagery"] (w=0.1, score=100) → basketball_motor_imagery.label["basketball motor imagery"]
CRITICAL eye_movement_task.synonyms["anti-saccade task"] (w=0.1, score=100) → anti_saccade_task.label["anti-saccade task"]
CRITICAL finger_motor_task.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.label["finger tapping task"]
CRITICAL finger_motor_task.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.synonym["finger tapping task"]
CRITICAL hand_grasp_motor_task.synonyms["ball squeeze task"] (w=0.1, score=100) → ball_squeeze_task.label["ball squeeze task"]
CRITICAL hand_motor_task.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.label["finger tapping task"]
CRITICAL hand_motor_task.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.synonym["finger tapping task"]
CRITICAL somatomotor_task.synonyms["HCP motor task"] (w=0.1, score=100) → hcp_motor_task.label["hcp motor task"]
CRITICAL somatomotor_task.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.label["finger tapping task"]
CRITICAL somatomotor_task.synonyms["finger tapping task"] (w=0.1, score=100) → finger_tapping_task.synonym["finger tapping task"]
CRITICAL semantic_processing_general.synonyms["semantic categorization"] (w=0.1, score=100) → semantic_categorization.label["semantic categorization"]
CRITICAL visual_word_form_area_task.synonyms["lexical decision task"] (w=0.1, score=100) → lexical_decision_task.label["lexical decision task"]
CRITICAL brocanto_language_task.synonyms["AGL"] (w=0.4, score=100) → artificial_grammar_nebula.synonym["agl"]
CRITICAL brocanto_language_task.synonyms["Artificial Grammar Learning"] (w=0.3, score=100) → artificial_grammar_nebula.synonym["artificial grammar learning"]
CRITICAL brocanto_language_task.synonyms["Artificial Grammar Learning task"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["artificial grammar learning task"]
CRITICAL language_production.synonyms["verb generation"] (w=0.1, score=100) → verb_generation_general.label["verb generation"]
CRITICAL language_production.synonyms["verbal fluency task"] (w=0.1, score=100) → verbal_fluency_task.label["verbal fluency task"]
CRITICAL language_production.synonyms["picture naming task"] (w=0.1, score=100) → picture_naming_task.label["picture naming task"]
CRITICAL grammatical_processing.synonyms["grammaticality judgment task"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["grammaticality judgment task"]
CRITICAL sentence_processing.synonyms["sentence reading"] (w=0.1, score=100) → sentence_reading.label["sentence reading"]
CRITICAL sentence_processing.synonyms["grammaticality judgment task"] (w=0.1, score=100) → artificial_grammar_nebula.synonym["grammaticality judgment task"]
CRITICAL verb_generation_general.synonyms["covert verb generation"] (w=0.3, score=100) → covert_verb_generation.label["covert verb generation"]
CRITICAL verb_generation_general.synonyms["overt verb generation"] (w=0.3, score=100) → overt_verb_generation.label["overt verb generation"]
CRITICAL covert_speech_decoding.synonyms["inner speech task"] (w=0.1, score=100) → inner_speech.label["inner speech task"]
CRITICAL word_processing_general.synonyms["lexical decision task"] (w=0.1, score=100) → lexical_decision_task.label["lexical decision task"]
CRITICAL word_processing_general.synonyms["phonological processing"] (w=0.1, score=100) → phonological_processing.label["phonological processing"]
CRITICAL word_processing_general.synonyms["semantic processing"] (w=0.1, score=100) → language_speech.synonym["semantic processing"]
CRITICAL word_reading_general.synonyms["word naming task"] (w=0.1, score=100) → word_naming_task.label["word naming task"]
CRITICAL auditory_spelling_processing.synonyms["auditory orthographic processing"] (w=0.1, score=100) → auditory_orthographic_processing.label["auditory orthographic processing"]
CRITICAL semantic_localizer.synonyms["language localizer"] (w=0.1, score=100) → language_localizer.label["language localizer"]
CRITICAL rsvp_language_processing.synonyms["RSVP"] (w=0.7, score=100) → rapid_serial_visual_presentation.synonym["rsvp"]
CRITICAL semantic_fluency.synonyms["animal fluency"] (w=0.1, score=100) → animal_stimuli_task.synonym["animal fluency"]
CRITICAL semantic_fluency.synonyms["animal naming task"] (w=0.1, score=100) → animal_stimuli_task.synonym["animal naming task"]
CRITICAL semantic_listening.synonyms["auditory semantic processing"] (w=0.1, score=100) → auditory_semantic_processing.label["auditory semantic processing"]
CRITICAL semantic_listening.synonyms["narrative listening"] (w=0.1, score=100) → narrative_listening.label["narrative listening"]
CRITICAL verbal_fluency_task.synonyms["animal naming task"] (w=0.1, score=100) → animal_stimuli_task.synonym["animal naming task"]
CRITICAL glass_lexical_task.synonyms["Lexical Decision Task"] (w=0.1, score=100) → lexical_decision_task.label["lexical decision task"]
CRITICAL glass_lexical_task.synonyms["Word Naming Task"] (w=0.1, score=100) → word_naming_task.label["word naming task"]
CRITICAL visual_orthographic_processing.synonyms["lexical decision task"] (w=0.3, score=100) → lexical_decision_task.label["lexical decision task"]
CRITICAL word_naming_task.synonyms["picture naming task"] (w=0.1, score=100) → picture_naming_task.label["picture naming task"]
CRITICAL general_reading_task.synonyms["sentence processing"] (w=0.1, score=100) → sentence_processing.label["sentence processing"]
CRITICAL general_reading_task.synonyms["silent reading"] (w=0.1, score=100) → silent_reading.label["silent reading"]
CRITICAL animate_stimuli_perception.synonyms["biological motion task"] (w=0.1, score=100) → biological_motion_task.label["biological motion task"]
CRITICAL pheromone_olfaction.synonyms["body odor perception"] (w=0.1, score=100) → body_odor_perception.label["body odor perception"]
CRITICAL random_dot_motion_perception.synonyms["random dot kinematogram task"] (w=0.1, score=100) → random_dot_kinematogram_task.label["random dot kinematogram task"]
CRITICAL retinotopy_expanding.synonyms["population receptive field mapping"] (w=0.3, score=100) → population_receptive_field_mapping.label["population receptive field mapping"]
CRITICAL auditory_perception_general.synonyms["auditory localizer"] (w=0.1, score=100) → auditory_localizer.label["auditory localizer"]
CRITICAL flavour_pleasantness_task.synonyms["taste rating task"] (w=0.1, score=100) → taste_rating_task.label["taste rating task"]
CRITICAL auditory_general.synonyms["auditory localizer"] (w=0.1, score=100) → auditory_localizer.label["auditory localizer"]
CRITICAL face_perception.synonyms["face localizer"] (w=0.1, score=100) → face_localizer.label["face localizer"]
CRITICAL retinotopy.synonyms["population receptive field mapping"] (w=0.1, score=100) → population_receptive_field_mapping.label["population receptive field mapping"]
CRITICAL auditory_entrainment_40hz.synonyms["auditory gamma entrainment"] (w=0.1, score=100) → auditory_gamma_entrainment.label["auditory gamma entrainment"]
CRITICAL visual_dots_task.synonyms["dot-probe task"] (w=0.1, score=100) → probe_task.synonym["dot-probe task"]
CRITICAL dichoptic_stimulation.synonyms["binocular rivalry"] (w=0.4, score=100) → perceptual_rivalry_task.synonym["binocular rivalry"]
CRITICAL navigational_affordances_ego_motion.synonyms["wayfinding"] (w=0.1, score=100) → geospatial_navigation.synonym["wayfinding"]
CRITICAL mental_imagery_general.synonyms["kinesthetic imagery"] (w=0.1, score=100) → motor_imagery_vs_rest.synonym["kinesthetic imagery"]
CRITICAL visual_motion_perception_general.synonyms["random dot kinematogram task"] (w=0.1, score=100) → random_dot_kinematogram_task.label["random dot kinematogram task"]
CRITICAL visual_motion_perception_general.synonyms["biological motion task"] (w=0.1, score=100) → biological_motion_task.label["biological motion task"]
CRITICAL ventral_visual_localizer.synonyms["visual category localizer"] (w=0.1, score=100) → visual_category_localizer.label["visual category localizer"]
CRITICAL adaptation_general.synonyms["motor adaptation"] (w=0.1, score=100) → motor_adaptation.label["motor adaptation"]
CRITICAL auditory_perception_mapping.synonyms["auditory localizer"] (w=0.1, score=100) → auditory_localizer.label["auditory localizer"]
CRITICAL category_perception.synonyms["semantic categorization"] (w=0.1, score=100) → semantic_categorization.label["semantic categorization"]
CRITICAL high_level_visual_auditory_cognitive_localizer.synonyms["language localizer"] (w=0.1, score=100) → language_localizer.label["language localizer"]
CRITICAL effloc_visual_conditions.synonyms["visual category localizer"] (w=0.1, score=100) → visual_category_localizer.label["visual category localizer"]
CRITICAL repetition_suppression_expectation.synonyms["oddball task"] (w=0.1, score=100) → oddball_task.label["oddball task"]
CRITICAL visual_functional_localizer.synonyms["retinotopy"] (w=0.1, score=100) → retinotopy.label["retinotopy"]
CRITICAL retinotopy_fixed_bar.synonyms["meridian mapping"] (w=0.1, score=100) → meridian_mapping.label["meridian mapping"]
CRITICAL flavor_perception_rating.synonyms["taste rating task"] (w=0.1, score=100) → taste_rating_task.label["taste rating task"]
CRITICAL half_field_checkerboard_stimulation.synonyms["visual hemifield stimulation"] (w=0.1, score=100) → visual_hemifield_stimulation.label["visual hemifield stimulation"]
CRITICAL object_task_general.synonyms["object memory task"] (w=0.1, score=100) → object_memory_task.label["object memory task"]
CRITICAL scene_perception_manual_response.synonyms["parahippocampal place area localizer"] (w=0.1, score=100) → faces_houses_perception_te27.synonym["parahippocampal place area localizer"]
CRITICAL parahippocampal_place_area_mapper.synonyms["parahippocampal place area localizer"] (w=0.1, score=100) → faces_houses_perception_te27.synonym["parahippocampal place area localizer"]
CRITICAL feature_discrimination_serial_presentation.synonyms["delayed match-to-sample task"] (w=0.1, score=100) → delayed_match_to_sample.label["delayed match-to-sample task"]
CRITICAL social_emotional_reward.synonyms["reinforcement learning"] (w=1.0, score=100) → reinforcement_learning.label["reinforcement learning"]
CRITICAL weather_prediction_reversal_learning.synonyms["Probabilistic Reversal Learning Task"] (w=0.1, score=100) → reversal_learning_task.synonym["probabilistic reversal learning task"]
CRITICAL weather_prediction_reversal_learning.synonyms["Probabilistic reversal learning"] (w=0.1, score=100) → reversal_learning_task.synonym["probabilistic reversal learning"]
CRITICAL social_task_general.synonyms["social judgment task"] (w=0.1, score=100) → social_judgment_task.label["social judgment task"]
CRITICAL shared_reward_task.synonyms["Dictator Game"] (w=0.1, score=100) → dictator_game.label["dictator game"]
CRITICAL shared_reward_task.synonyms["Ultimatum Game"] (w=0.1, score=100) → ultimatum_game.label["ultimatum game"]
CRITICAL shared_reward_task.synonyms["Trust Game"] (w=0.1, score=100) → trust_game.label["trust game"]
CRITICAL emotion_evaluation_task.synonyms["emotion matching task"] (w=0.1, score=100) → emotion_matching_task.label["emotion matching task"]
CRITICAL risky_decision_making.synonyms["Columbia Card Task"] (w=0.1, score=100) → columbia_card_task.label["columbia card task"]
CRITICAL risky_decision_making.synonyms["gambling task"] (w=0.1, score=100) → hcp_gambling_task.synonym["gambling task"]
CRITICAL monetary_incentive_delay_localizer.synonyms["Monetary Incentive Delay Task"] (w=0.1, score=100) → monetary_incentive_delay_task.label["monetary incentive delay task"]
CRITICAL monetary_incentive_delay_localizer.synonyms["Monetary Incentive Delay Task"] (w=0.1, score=100) → monetary_incentive_delay_task.synonym["monetary incentive delay task"]
CRITICAL reward_processing.synonyms["monetary incentive delay"] (w=0.1, score=100) → monetary_incentive_delay_task.synonym["monetary incentive delay"]
CRITICAL hariri_emotional_face_task.synonyms["HCP emotion task"] (w=0.1, score=100) → hcp_emotion_task.label["hcp emotion task"]
CRITICAL emotion_general.synonyms["HCP emotion task"] (w=0.1, score=100) → hcp_emotion_task.label["hcp emotion task"]
CRITICAL emotion_general.synonyms["emotion processing"] (w=0.3, score=100) → emotion_processing_regulation.synonym["emotion processing"]
CRITICAL social_interaction_psts.synonyms["theory of mind localizer"] (w=0.1, score=100) → theory_of_mind_localizer.label["theory of mind localizer"]
CRITICAL theory_of_mind.synonyms["social cognition"] (w=0.1, score=100) → social_emotional_reward.synonym["social cognition"]
CRITICAL strategic_interaction_game.synonyms["Ultimatum Game"] (w=0.1, score=100) → ultimatum_game.label["ultimatum game"]
CRITICAL strategic_interaction_game.synonyms["Trust Game"] (w=0.1, score=100) → trust_game.label["trust game"]
CRITICAL strategic_interaction_game.synonyms["Dictator Game"] (w=0.1, score=100) → dictator_game.label["dictator game"]
CRITICAL prediction_error_task.synonyms["Reversal Learning Task"] (w=0.1, score=100) → reversal_learning_task.label["reversal learning task"]
CRITICAL social_risky_choice_task.synonyms["Trust Game"] (w=0.1, score=100) → trust_game.label["trust game"]
CRITICAL social_risky_choice_task.synonyms["Ultimatum Game"] (w=0.1, score=100) → ultimatum_game.label["ultimatum game"]
CRITICAL communicative_gaze_co_condition.synonyms["Communicative gaze"] (w=0.1, score=100) → communicative_gaze.label["communicative gaze"]
CRITICAL debate_task.synonyms["persuasion task"] (w=0.1, score=100) → persuasion_task.label["persuasion task"]
CRITICAL food_processing_general.synonyms["food choice task"] (w=0.1, score=100) → food_choice_task.label["food choice task"]
CRITICAL probability_decision_making.synonyms["probabilistic selection task"] (w=0.1, score=100) → probabilistic_selection_task.label["probabilistic selection task"]
CRITICAL polex_personal_rating.synonyms["POLEX-PR"] (w=0.1, score=100) → polex_political_rating.synonym["polex-pr"]
CRITICAL response_to_snack_stimuli.synonyms["food choice task"] (w=0.1, score=100) → food_choice_task.label["food choice task"]
CRITICAL trait_role_perception_task.synonyms["social judgment task"] (w=0.1, score=100) → social_judgment_task.label["social judgment task"]
CRITICAL social_judgment_task.synonyms["moral dilemma task"] (w=0.1, score=100) → moral_dilemma.label["moral dilemma task"]
CRITICAL meditation_general.synonyms["focused attention meditation"] (w=0.1, score=100) → meditation_breathing_variant1.synonym["focused attention meditation"]
CRITICAL meditation_general.synonyms["FAM"] (w=0.1, score=100) → meditation_breathing_variant1.synonym["fam"]
CRITICAL meditation_general.synonyms["breath awareness task"] (w=0.1, score=100) → meditation_breathing_variant1.synonym["breath awareness task"]
CRITICAL deep_breathing.synonyms["paced breathing"] (w=0.1, score=100) → paced_breathing.label["paced breathing"]
CRITICAL deep_breathing.synonyms["slow-paced breathing"] (w=0.1, score=100) → paced_breathing.synonym["slow-paced breathing"]
CRITICAL hypercapnia_challenge.synonyms["breath hold"] (w=0.1, score=100) → breath_hold.label["breath hold"]
CRITICAL hypercapnia_challenge.synonyms["breath-hold"] (w=0.1, score=100) → breath_hold.synonym["breath-hold"]
CRITICAL direct_cortical_stimulation.synonyms["DES"] (w=0.1, score=100) → electrical_stimulation.synonym["des"]
